X,,,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
496079.3711,0.3711,0.0006,201633.0847,473,Chesham,Metropolitan,940GZZLUCSM,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chesham station
496371.5781,292.5781,0.4871,198181.3279,438,Amersham,Metropolitan,940GZZLUAMS,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Amersham station
499633.5338,3554.5338,5.9176,197564.355,239,Chalfont & Latimer,Metropolitan,940GZZLUCAL,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chalfont & Latimer station
502580.7743,6501.7743,10.8242,196094.9067,240,Chorleywood,Metropolitan,940GZZLUCYD,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chorleywood station
505109.3841,9030.3841,15.0339,175923.8204,442,Heathrow Terminal 5,Piccadilly,940GZZLUHR5,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Heathrow Terminal 5 station
505661.0034,9582.0034,15.9522,184161.1754,318,Uxbridge,"Metropolitan, Piccadilly",940GZZLUUXB,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Uxbridge station
505715.6061,9636.6061,16.0431,194601.2017,474,Rickmansworth,Metropolitan,940GZZLURKW,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Rickmansworth station
507585.6702,11506.6702,19.1564,175839.6403,391,Heathrow Terminals 1-2-3,Piccadilly,940GZZLUHRC,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Heathrow Terminals 1-2-3 station
507602.2269,11523.2269,19.1840,185034.942299999,319,Hillingdon,"Metropolitan, Piccadilly",940GZZLUHGD,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Hillingdon station
507909.4599,11830.4599,19.6954,195402.8332,477,Croxley,Metropolitan,940GZZLUCXY,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Croxley station
508081.9464,12002.9464,19.9826,174430.162599999,315,Heathrow Terminal 4,Piccadilly,940GZZLUHR4,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Heathrow Terminal 4 station
508092.3561,12013.3561,19.9999,185937.6131,320,Ickenham,"Metropolitan, Piccadilly",940GZZLUICK,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ickenham station
508378.6627,12299.6627,20.4766,186795.997400001,132,West Ruislip,Central,940GZZLUWRP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,West Ruislip station
508606.4789,12527.4789,20.8558,193502.849199999,475,Moor Park,Metropolitan,940GZZLUMPK,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Moor Park station
509229.7103,13150.7103,21.8934,191418.7435,476,Northwood,Metropolitan,940GZZLUNOW,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northwood station
509473.5706,13394.5706,22.2994,187004.4778,321,Ruislip,"Metropolitan, Piccadilly",940GZZLURSP,"bus, tube",Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip station
509569.47,13490.47,22.46,196595.9617,478,Watford,Metropolitan,940GZZLUWAF,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Watford station
509608.3222,13529.3222,22.5237,175362.561799999,298,Hatton Cross,Piccadilly,940GZZLUHNX,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hatton Cross station
510159.7912,14080.7912,23.4418,187262.366699999,322,Ruislip Manor,"Metropolitan, Piccadilly",940GZZLURSM,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip Manor station
510266.398,14187.398,23.619,185851.599300001,129,Ruislip Gardens,Central,940GZZLURSG,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip Gardens station
510307.602,14228.602,23.688,190238.042400001,323,Northwood Hills,Metropolitan,940GZZLUNWH,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northwood Hills station
511097.3834,15018.3834,25.0027,185434.104699999,130,South Ruislip,Central,940GZZLUSRP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,South Ruislip station
511153.3473,15074.3473,25.0959,187621.8123,437,Eastcote,"Metropolitan, Piccadilly",940GZZLUEAE,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Eastcote station
512207.7403,16128.7403,26.8512,176196.9816,299,Hounslow West,Piccadilly,940GZZLUHWT,"bus, tube",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hounslow West station
512236.1384,16157.1384,26.8985,189460.7521,327,Pinner,Metropolitan,940GZZLUPNR,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Pinner station
512952.7879,16873.7879,28.0916,187515.078199999,325,Rayners Lane,"Metropolitan, Piccadilly",940GZZLURYL,"bus, tube",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Rayners Lane station
513213.3316,17134.3316,28.5254,184523.897600001,131,Northolt,Central,940GZZLUNHT,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northolt station
513541.1687,17462.1687,29.0712,188613.229499999,326,North Harrow,Metropolitan,940GZZLUNHA,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,North Harrow station
513567.6962,17488.6962,29.1153,175971.364700001,300,Hounslow Central,Piccadilly,940GZZLUHWC,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hounslow Central station
514199.9396,18120.9396,30.1679,188029.3693,324,West Harrow,Metropolitan,940GZZLUWHW,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,West Harrow station
514254.5504,18175.5504,30.2588,176202.929199999,301,Hounslow East,Piccadilly,940GZZLUHWE,"bus, tube",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hounslow East station
514320.5446,18241.5446,30.3687,186361.227299999,260,South Harrow,Piccadilly,940GZZLUSHH,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,South Harrow station
514520.2731,18441.2731,30.7012,177096.8334,302,Osterley,Piccadilly,940GZZLUOSY,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Osterley station
514763.0955,18684.0955,31.1054,183928.051899999,206,Greenford,Central,940GZZLUGFD,tube,Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Greenford station
515346.2006,19267.2006,32.0762,188038.3989,328,Harrow-on-the-Hill,Metropolitan,940GZZLUHOH,tube,Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Harrow-on-the-Hill station
515411.8716,19332.8716,32.1855,185542.0623,140,Sudbury Hill,Piccadilly,940GZZLUSUH,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Sudbury Hill station
515443.4908,19364.4908,32.2382,189445.8062,257,Harrow & Wealdstone,Bakerloo,940GZZLUHAW,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Harrow & Wealdstone station
516333.5188,20254.5188,33.7199,178693.009,434,Boston Manor,Piccadilly,940GZZLUBOS,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Boston Manor station
516378.3501,20299.3501,33.7945,183314.9891,205,Perivale,Central,940GZZLUPVL,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Perivale station
516643.3006,20564.3006,34.2356,187963.523499999,329,Northwick Park,Metropolitan,940GZZLUNKP,"tube, bus",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Northwick Park station
516727.9918,20648.9918,34.3766,188314.4716,485,Kenton,Bakerloo,940GZZLUKEN,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Kenton station
516874.9001,20795.9001,34.6212,184890.216,141,Sudbury Town,Piccadilly,940GZZLUSUT,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Sudbury Town station
517196.8059,21117.8059,35.1571,179206.2903,303,Northfields,Piccadilly,940GZZLUNFD,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Northfields station
517336.1598,21257.1598,35.3891,187060.2129,256,South Kenton,Bakerloo,940GZZLUSKT,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,South Kenton station
517562.6021,21483.6021,35.7661,192572.9608,330,Stanmore,Jubilee,940GZZLUSTM,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Stanmore station
517574.6349,21495.6349,35.7861,179353.532600001,142,South Ealing,Piccadilly,940GZZLUSEA,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,South Ealing station
517667.5472,21588.5472,35.9408,186197.873500001,264,North Wembley,Bakerloo,940GZZLUNWY,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,North Wembley station
517989.3481,21910.3481,36.4765,180932.526699999,290,Ealing Broadway,"District, Central",940GZZLUEBY,tube,Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,Ealing Broadway station
517996.164,21917.164,36.488,183795.164000001,144,Alperton,Piccadilly,940GZZLUALP,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Alperton station
518077.1529,21998.1529,36.6227,175161.4717,396,Richmond,District,940GZZLURMD,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Richmond station
518182.8112,22103.8112,36.7986,185084.709899999,263,Wembley Central,Bakerloo,940GZZLUWYC,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Wembley Central station
518186.8967,22107.8967,36.8054,191252.07,331,Canons Park,Jubilee,940GZZLUCPK,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Canons Park station
518249.3308,22170.3308,36.9093,187281.8291,487,Preston Road,Metropolitan,940GZZLUPRD,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Preston Road station
518527.3157,22448.3157,37.3721,182634.1785,393,Hanger Lane,Central,940GZZLUHGR,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Hanger Lane station
518808.7824,22729.7824,37.8407,189763.2019,255,Queensbury,Jubilee,940GZZLUQBY,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Queensbury station
518828.0459,22749.0459,37.8728,181227.755999999,385,North Ealing,Piccadilly,940GZZLUNEN,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,North Ealing station
518895.9685,22816.9685,37.9859,180345.996200001,292,Ealing Common,"District, Piccadilly",940GZZLUECM,"tube, bus",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Ealing Common station
519141.6075,23062.6075,38.3948,182236.241800001,143,Park Royal,Piccadilly,940GZZLUPKR,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Park Royal station
519196.0695,23117.0695,38.4855,176731.8028,266,Kew Gardens,District,940GZZLUKWG,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Kew Gardens station
519315.8795,23236.8795,38.6849,186388.4845,312,Wembley Park,"Metropolitan, Jubilee",940GZZLUWYP,"bus, tube",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Wembley Park station
519358.6236,23279.6236,38.7561,188712.7984,254,Kingsbury,Jubilee,940GZZLUKBY,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Kingsbury station
519372.862,23293.862,38.780,181295.9254,316,West Acton,Central,940GZZLUWTA,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,West Acton station
519477.6064,23398.6064,38.9542,179592.1471,291,Acton Town,"District, Piccadilly",940GZZLUACT,"bus, tube",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Acton Town station
519550.4974,23471.4974,39.0755,191940.4673,384,Edgware,Northern,940GZZLUEGW,"bus, tube",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Edgware station
519615.5138,23536.5138,39.1838,184218.2261,258,Stonebridge Park,Bakerloo,940GZZLUSGP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Stonebridge Park station
519845.2545,23766.2545,39.5662,178387.583799999,267,Gunnersbury,District,940GZZLUGBY,tube,Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Gunnersbury station
520293.2801,24214.2801,40.3121,178723.680199999,176,Chiswick Park,District,940GZZLUCWP,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Chiswick Park station
520325.5892,24246.5892,40.3659,190759.991599999,136,Burnt Oak,Northern,940GZZLUBTK,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Burnt Oak station
520828.4021,24749.4021,41.2030,181956.9398,207,North Acton,Central,940GZZLUNAN,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,North Acton station
520874.9265,24795.9265,41.2804,183414.186899999,262,Harlesden,Bakerloo,940GZZLUHSN,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Harlesden station
521265.8017,25186.8017,41.9312,178779.0811,308,Turnham Green,"District, Piccadilly",940GZZLUTNG,"tube, bus",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Turnham Green station
521318.6301,25239.6301,42.0191,189961.520300001,135,Colindale,Northern,940GZZLUCND,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Colindale station
521342.3348,25263.3348,42.0586,185397.9068,313,Neasden,Jubilee,940GZZLUNDN,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Neasden station
521720.9991,25641.9991,42.6890,181197.768999999,238,East Acton,Central,940GZZLUEAN,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,East Acton station
521858.4876,25779.4876,42.9179,182959.8201,470,Willesden Junction,Bakerloo,940GZZLUWJN,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Willesden Junction station
521859.3453,25780.3453,42.9193,178788.8474,307,Stamford Brook,District,940GZZLUSFB,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Stamford Brook station
522189.8506,26110.8506,43.4695,185144.020099999,253,Dollis Hill,Jubilee,940GZZLUDOH,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Dollis Hill station
522571.1867,26492.1867,44.1044,178722.460000001,278,Ravenscourt Park,District,940GZZLURVP,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ravenscourt Park station
522985.7318,26906.7318,44.7945,188635.9596,482,Hendon Central,Northern,940GZZLUHCL,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hendon Central station
523183.913,27104.913,45.124,179607.8456,195,Goldhawk Road,"Hammersmith & City, Circle",940GZZLUGHK,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Goldhawk Road station
523197.0859,27118.0859,45.1464,180064.2324,194,Shepherd's Bush Market,"Hammersmith & City, Circle",940GZZLUSBM,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Shepherd's Bush Market station
523257.1398,27178.1398,45.2464,182789.7245,261,Kensal Green,Bakerloo,940GZZLUKSL,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Kensal Green station
523307.8235,27228.8235,45.3308,180748.416200001,181,White City,Central,940GZZLUWCY,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,White City station
523325.1097,27246.1097,45.3595,178697.986300001,297,Hammersmith (H&C Line),Hammersmith & City,940GZZLUHSC,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Hammersmith (H&C Line) station
523328.566,27249.566,45.365,184883.4222,439,Willesden Green,Jubilee,940GZZLUWIG,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Willesden Green station
523373.9519,27294.9519,45.4408,180519.177100001,241,Wood Lane,"Hammersmith & City, Circle",940GZZLUWLA,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Wood Lane station
523460.9489,27381.9489,45.5857,178502.7234,279,Hammersmith (Dist&Picc Line),"District, Piccadilly",940GZZLUHSD,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hammersmith (Dist&Picc Line) station
523719.5706,27640.5706,46.0162,179883.5582,182,Shepherd's Bush,Central,940GZZLUSBC,tube,Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Shepherd's Bush station
523762.9916,27683.9916,46.0885,180897.8333,196,Latimer Road,"Hammersmith & City, Circle",940GZZLULRD,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Latimer Road station
523873.7006,27794.7006,46.2728,187934.037,134,Brent Cross,Northern,940GZZLUBTX,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Brent Cross station
524045.7492,27966.7492,46.5593,191450.480699999,137,Mill Hill East,Northern,940GZZLUMHL,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Mill Hill East station
524045.7583,27966.7583,46.5593,178327.6646,304,Barons Court,"District, Piccadilly",940GZZLUBSC,tube,Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,Barons Court station
524234.8749,28155.8749,46.8741,181339.0615,197,Ladbroke Grove,"Hammersmith & City, Circle",940GZZLULAD,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ladbroke Grove station
524341.6907,28262.6907,47.0519,179162.423900001,284,Kensington (Olympia),District,940GZZLUKOY,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Kensington (Olympia) station
524381.7165,28302.7165,47.1186,174869.93,178,East Putney,District,940GZZLUEPY,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,East Putney station
524519.2741,28440.2741,47.3476,175886.505999999,208,Putney Bridge,District,940GZZLUPYB,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Putney Bridge station
524547.4749,28468.4749,47.3945,183200.2402,200,Queen's Park,Bakerloo,940GZZLUQPS,tube,Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Queen's Park station
524583.2751,28504.2751,47.4541,184644.8518,218,Kilburn,Jubilee,940GZZLUKBN,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Kilburn station
524626.2477,28547.2477,47.5257,180217.3517,183,Holland Park,Central,940GZZLUHPK,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Holland Park station
524684.9763,28605.9763,47.6234,178398.058900001,179,West Kensington,District,940GZZLUWKN,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,West Kensington station
524726.397,28647.397,47.692,173312.818499999,389,Southfields,District,940GZZLUSFS,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Southfields station
524800.3804,28721.3804,47.8156,170683.6656,335,Wimbledon,District,940GZZLUWIM,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Wimbledon station
524901.4238,28822.4238,47.9838,181755.9263,392,Westbourne Park,"Hammersmith & City, Circle",940GZZLUWSP,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Westbourne Park station
524984.5495,28905.5495,48.1222,176646.7489,180,Parsons Green,District,940GZZLUPSG,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Parsons Green station
525030.1427,28951.1427,48.1981,196180.328199999,436,High Barnet,Northern,940GZZLUHBT,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,High Barnet station
525255.0926,29176.0926,48.5726,187480.2837,138,Golders Green,Northern,940GZZLUGGN,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Golders Green station
525278.0259,29199.0259,48.6108,190668.344000001,139,Finchley Central,Northern,940GZZLUFYC,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Finchley Central station
525282.3792,29203.3792,48.6180,172099.7465,177,Wimbledon Park,District,940GZZLUWIP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Wimbledon Park station
525284.9146,29205.9146,48.6222,180456.3574,201,Notting Hill Gate,"District, Central, Circle",940GZZLUNHG,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Notting Hill Gate station
525357.7486,29278.7486,48.7435,183328.0363,274,Kilburn Park,Bakerloo,940GZZLUKPK,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Kilburn Park station
525380.8439,29301.8439,48.7819,178024.490700001,306,West Brompton,District,940GZZLUWBN,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,West Brompton station
525454.6092,29375.6092,48.9047,177301.7324,305,Fulham Broadway,District,940GZZLUFBY,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Fulham Broadway station
525534.3012,29455.3012,49.0374,178551.8071,199,Earl's Court,"District, Piccadilly",940GZZLUECT,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Earl's Court station
525546.1518,29467.1518,49.0571,191626.9482,336,West Finchley,Northern,940GZZLUWFN,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,West Finchley station
525578.3546,29499.3546,49.1108,179494.316500001,173,High Street Kensington,"District, Circle",940GZZLUHSK,"tube, bus",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,High Street Kensington station
525592.1984,29513.1984,49.1338,184652.8993,219,West Hampstead,Jubilee,940GZZLUWHP,tube,Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,West Hampstead station
525669.7872,29590.7872,49.2630,168602.371300001,296,Morden,Northern,940GZZLUMDN,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Morden station
525718.4454,29639.4454,49.3440,192588.1262,486,Woodside Park,Northern,940GZZLUWOP,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Woodside Park station
525736.3947,29657.3947,49.3739,169989.4476,433,South Wimbledon,Northern,940GZZLUSWN,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,South Wimbledon station
525833.8943,29754.8943,49.5362,181570.6391,198,Royal Oak,"Hammersmith & City, Circle",940GZZLURYO,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Royal Oak station
525842.957,29763.957,49.551,180822.646199999,172,Bayswater,"District, Circle",940GZZLUBWT,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Bayswater station
525903.0798,29824.0798,49.6514,180593.604,245,Queensway,Central,940GZZLUQWY,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Queensway station
525940.2151,29861.2151,49.7132,182761.773700001,273,Maida Vale,Bakerloo,940GZZLUMVL,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Maida Vale station
526112.4036,30033.4036,49.9998,182039.408,397,Warwick Avenue,Bakerloo,940GZZLUWKA,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Warwick Avenue station
526120.3494,30041.3494,50.0131,193989.2184,314,Totteridge & Whetstone,Northern,940GZZLUTAW,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Totteridge & Whetstone station
526182.7589,30103.7589,50.1170,178846.489499999,174,Gloucester Road,"District, Piccadilly, Circle",940GZZLUGTR,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Gloucester Road station
526220.4473,30141.4473,50.1797,184716.2096,221,Finchley Road,"Metropolitan, Jubilee",940GZZLUFYR,"bus, tube",Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,Finchley Road station
526372.6132,30293.6132,50.4330,185761.4121,231,Hampstead,Northern,940GZZLUHTD,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hampstead station
526459.0141,30380.0141,50.5769,181526.643200001,265,Paddington (H&C Line),Hammersmith & City,940GZZLUPAH,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Paddington (H&C Line) station
526659.2098,30580.2098,50.9102,181314.446900001,125,Paddington,"Hammersmith & City, District, Circle, Bakerloo",940GZZLUPAC,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Paddington station
526663.6914,30584.6914,50.9176,184334.9639,220,Swiss Cottage,Jubilee,940GZZLUSWC,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Swiss Cottage station
526703.6907,30624.6907,50.9842,181197.8431,171,Paddington,"Hammersmith & City, District, Circle, Bakerloo",940GZZLUPAC,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Paddington station
526710.5082,30631.5082,50.9956,180773.3476,202,Lancaster Gate,Central,940GZZLULGT,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Lancaster Gate station
526735.2854,30656.2854,51.0368,183390.8717,332,St. John's Wood,Jubilee,940GZZLUSJW,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,St. John's Wood station
526787.9528,30708.9528,51.1245,170368.2575,222,Colliers Wood,Northern,940GZZLUCSD,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Colliers Wood station
526917.564,30838.564,51.340,178820.259,175,South Kensington,"District, Piccadilly, Circle",940GZZLUSKS,"bus, tube",Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,South Kensington station
